MAT_whittaker,MAP_whittaker
8.9092,2205.619
8.8486,2205.5307
8.7887,2199.3543
8.7288,2193.1779
8.6681,2193.0896
8.6082,2186.9132
8.5484,2180.7368
8.4877,2180.6486
8.4278,2174.4722
8.3679,2168.2957
8.3073,2168.2075
8.2474,2162.0311
8.1875,2155.8547
8.1269,2155.7664
8.067,2149.5899
8.0071,2143.4136
7.9464,2143.3253
7.8866,2137.1489
7.8258,2137.0606
7.766,2130.8841
7.7061,2124.7078
7.6461,2118.5314
7.5856,2118.4432
7.5257,2112.2667
7.465,2112.1785
7.4051,2106.0021
7.3453,2099.8256
7.2846,2099.7374
7.2247,2093.561
7.1648,2087.3846
7.1042,2087.2963
7.0443,2081.1199
6.9844,2074.9435
6.9237,2074.8552
6.8639,2068.6787
6.804,2062.5024
6.7441,2056.326
6.6842,2050.1496
6.6236,2050.0613
6.5636,2043.8849
6.5038,2037.7085
6.4431,2037.6202
6.3833,2031.4438
6.3234,2025.2674
6.2635,2019.091
6.2028,2019.0028
6.143,2012.8264
6.0831,2006.6499
6.0224,2006.5617
5.9625,2000.3853
5.9026,1994.2089
5.8428,1988.0325
5.7829,1981.8559
5.7222,1981.7678
5.7229,1975.6796
5.6623,1975.5914
5.6017,1975.503
5.5417,1969.3267
5.4819,1963.1503
5.422,1956.9739
5.3622,1950.7974
5.3014,1950.7092
5.2416,1944.5328
5.1817,1938.3564
5.1211,1938.2681
5.0612,1932.0917
5.0013,1925.9153
4.9414,1919.7389
4.8808,1919.6505
4.8209,1913.4742
4.761,1907.2978
4.701,1901.1214
4.6404,1901.0331
4.5806,1894.8567
4.5207,1888.6803
4.46,1888.592
4.4002,1882.4157
4.3403,1876.2392
4.2804,1870.0628
4.2205,1863.8864
4.1599,1863.7982
4.1,1857.6218
4.0401,1851.4453
3.9802,1845.2689
3.9203,1839.0925
3.8597,1839.0043
3.7997,1832.8279
3.7399,1826.6514
3.68,1820.475
3.6194,1820.3868
3.5594,1814.2104
3.4996,1808.034
3.4397,1801.8575
3.3799,1795.6811
3.3192,1795.5929
3.2593,1789.4165
3.1994,1783.2401
3.1396,1777.0636
3.0796,1770.8872
3.019,1770.799
3.0198,1764.7107
2.9599,1758.5344
2.8993,1758.4461
2.8394,1752.2697
2.7795,1746.0933
2.7196,1739.9169
2.6598,1733.7405
2.5991,1733.6522
2.5392,1727.4758
2.4793,1721.2993
2.4195,1715.123
2.3596,1708.9466
2.2997,1702.7702
2.2398,1696.5937
2.1792,1696.5055
2.1193,1690.3291
2.0594,1684.1527
1.9995,1677.9763
1.9396,1671.7999
1.8798,1665.6235
1.8199,1659.4471
1.76,1653.2707
1.6993,1653.1824
1.7001,1647.0943
1.6402,1640.9178
1.6411,1634.8296
1.5804,1634.7414
1.5205,1628.565
1.4606,1622.3886
1.4,1622.3004
1.3401,1616.1239
1.2802,1609.9475
1.281,1603.8594
1.2203,1603.7711
1.2211,1597.683
1.1605,1597.5947
1.1006,1591.4183
1.0407,1585.2419
0.9808,1579.0655
0.921,1572.8891
0.9218,1566.8009
0.8611,1566.7127
0.8012,1560.5363
0.7412,1554.3599
0.7421,1548.2717
0.6815,1548.1834
0.6216,1542.007
0.6223,1535.9189
0.5625,1529.7425
0.5026,1523.5661
0.442,1523.4778
0.4428,1517.3897
0.382,1517.3014
0.3829,1511.2133
0.323,1505.0368
0.2631,1498.8604
0.2025,1498.7722
0.1426,1492.5958
0.0827,1486.4194
0.0835,1480.3312
